Epoch: 44 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 45 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 46 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 47 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 48 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 49 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 50 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 51 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 52 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 53 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 54 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 55 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 56 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 57 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 58 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 59 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 60 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 61 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 62 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 63 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 64 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 65 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 66 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 67 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 68 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 69 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 70 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 71 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 72 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 73 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 74 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 75 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 76 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 77 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 78 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 79 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)
Epoch: 80 tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)
Results compiled: [tensor(0.0044, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0040, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0038, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0036, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0035, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0034, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0033, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0032, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0031, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0031, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0030, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0030, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0029, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0029, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0029, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0028, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0028, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0028, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0027, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0027, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0027, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0027, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0026, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0026, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0026, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0026, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0026, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0026, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>), tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)]
saving scatter model
