ObjectID,Batch Reference,Supplier Code,Supplier Compound Number,Library ID,CAS Number,SMILES,Full Molecular Mass,Parent Molecular Mass,Plate ID,Well,Object Name,Drug Name,Analysis
YU034215,2,Microsource,1501171,Pharmakon 1600,81-07-2,S1(=O)(=O)(NC(=O)C2(=C1C=CC=C2)),183.18554,183.18554,M00966A,C018,SACCHARIN,GARANTOSE,"sweetener, synthetic"
YU226342,1,Microsource,1502374,Pharmakon 1600,147511-69-1,[Ca+2].FC4(=CC=C(C=1(C=3(C(N=C(C=1C=CC(O)CC(O)CC(=O)[O-])C2(CC2))=CC=CC=3)))C=C4),460.53086,460.5308632,M00966A,C019,PITAVASTATIN CALCIUM,LIVALO,"HMGA reductase inhibitor, synthetic"
YU226384,1,Microsource,1505458,Pharmakon 1600,86-34-0,O=C1(N(C(=O)CC1C2(=CC=CC=C2))C),189.21058,189.21058,M00966A,C020,PHENSUCCIMIDE,phensuximide,"anticonvulsant, synthetic"
YU226343,1,Microsource,1500406,Pharmakon 1600,83-43-2,O=C4(C=C2(C(C1(C(O)CC3(C(O)(C(=O)CO)CCC3(C1CC2C))(C)))(C)C=C4)),374.4706,374.4706,M00966A,C021,METHYLPREDNISOLONE,methylprednisolone,"glucocorticoid, semisynthetic; U-67590A"
YU226385,1,Microsource,1501175,Pharmakon 1600,1524-88-5,FC2(C1(=CC(=O)CCC1(C3(C(O)CC4(C(C3(C2))CC5(OC(OC45(C(=O)CO))(C)C))(C)))C)),436.5136232,436.5136232,M00966A,C022,FLURANDRENOLIDE,fludroxycortide,"antiinflammatory, semisynthetic; 33379"
YU034309,2,Microsource,1502195,Pharmakon 1600,7491-74-9,O=C1(N(CCC1)CC(=O)N),142.15588,142.15588,M00966A,D003,PIRACETAM,piracetam,"antinauseant, synthetic; CL-871; UCB-6215"
YU033794,2,Microsource,1500252,Pharmakon 1600,59-52-9,SC(CS)CO,124.22702,124.22702,M00966A,D004,DIMERCAPROL,dimercaprol,"chelating agent (As, Au, Hg antidote), synthetic"
YU034357,2,Microsource,1503092,Pharmakon 1600,90-80-2,O=C1(OC(C(O)C(C1O)O)CO),178.14,178.14,M00966A,D005,GLUCONOLACTONE,,"chelating agent, synthetic"
YU226474,1,Microsource,1505656,Pharmakon 1600,16485-10-2,O=C(NCCCO)C(O)C(CO)(C)C,205.2515,205.2515,M00966A,D006,PANTHENOL (dl),panthenol,"vitamin B5 precursor, radioprotectant, antimalarial, various plants"
YU226427,1,Microsource,1503101,Pharmakon 1600,37091-66-0,S1(C(C(C(=O)[O-])N4(C1C(NC(=O)C(NC(=O)N2(C(=O)NCC2))C3(=CC=CC=C3))C4=O))(C)C).[Na+],483.47455,483.47455,M00966A,D007,AZLOCILLIN SODIUM,AZLIN,"antibacterial, semisynthetic"
YU226475,1,Microsource,1505485,Pharmakon 1600,84-80-0,O=C1(C2(=C(C(=O)C(=C1CC=C(CCCC(CCCC(CCCC(C)C)C)C)C)C)C=CC=C2)),450.69574,450.69574,M00966A,D008,PHYTONADIONE,AQUAMEPHYTON,"vitamin K1, semisynthetic"
YU226428,1,Microsource,1503428,Pharmakon 1600,"67-48-1, 62-49-7 [choline]",[Cl-].OCC[N+](C)(C)C,139.6235,139.6235,M00966A,D009,CHOLINE CHLORIDE,choline chloride,"choleretic, lipotropic, hepatoprotectant, widespread in the plant and animal kingdoms"
YU221555,2,Microsource,1502345,Pharmakon 1600,66-22-8,O=C1(NC(=O)C=CN1),112.08684,112.08684,M00966A,D010,URACIL,,"antineoplastic, synthetic; SQ-6201"
YU226429,1,Microsource,1503722,Pharmakon 1600,"134523-03-8, 134523-00-5 [atorvastatin]",[Ca+2].FC4(=CC=C(C=1(N(C(C(C)C)=C(C=1C2(=CC=CC=C2))C(=O)C3(=CC=CC=C3))CCC(O)CC(O)CC(=O)[O-]))C=C4),582.69526,582.6952632,M00966A,D011,ATORVASTATIN CALCIUM,LIPITOR,"antihyperlipidemic, HMGCoA reductase inhibitor, synthetic"
YU226476,1,Microsource,1505348,Pharmakon 1600,1744-22-5,S1(C(=NC2(=C1C=C(OC(F)(F)F)C=C2))N),234.19939,234.1993896,M00966A,D012,RILUZOLE,RILUTEK,"anticonvulsant, glutamate release inhibitor, anti-ALS, synthetic; PK-26124, RP-54274"
YU226430,1,Microsource,1503932,Pharmakon 1600,"125-52-0, 125-53-1 [oxyphencyclimine]",Cl.O=C(OCC1(=NCCCN1C))C(O)(C2(=CC=CC=C2))C3(CCCCC3),380.90864,380.90864,M00966A,D013,OXYPHENCYCLIMINE HYDROCHLORIDE,DARICON,"anticholinergic, synthetic"
YU226477,1,Microsource,1503864,Pharmakon 1600,104-31-4,O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)C1(=CC=C(NCCCC)C=C1),603.74196,603.74196,M00966A,D014,BENZONATATE,benzonatate,DB00868
YU226431,1,Microsource,1503935,Pharmakon 1600,"34183-22-7, 54063-53-5 [propafenone]",Cl.O=C(C1(=C(OCC(O)CNCCC)C=CC=C1))CCC2(=CC=CC=C2),377.90466,377.90466,M00966A,D015,PROPAFENONE HYDROCHLORIDE,propafenone,"antiarrhythmic, synthetic"
YU033675,2,Microsource,1500102,Pharmakon 1600,59-66-5,S(=O)(=O)(N)C=1(SC(NC(=O)C)=NN=1),222.2476,222.2476,M00966A,D016,ACETAZOLAMIDE,acetazolamide,"carbonic anhydrase inhibitor, diuretic, antiglaucoma, synthetic; 6063"
YU033626,3,Microsource,1503975,Pharmakon 1600,86386-73-4,FC1(=C(C=CC(=C1)F)C(O)(CN2(N=CN=C2))CN3(N=CN=C3)),306.2710264,306.27103,M00966A,D017,FLUCONAZOLE,fluconazole,"antifungal, synthetic"
YU033676,2,Microsource,1500103,Pharmakon 1600,546-88-3,O=C(NO)C,75.06664,75.06664,M00966A,D018,ACETOHYDROXAMIC ACID,acetohydroxamic acid,"urease inhibitor, antiurolithic, antbacterial, synthetic"
YU225052,2,Microsource,1503977,Pharmakon 1600,75330-75-5,O=C1(OC(CC(C1)O)CCC2(C3(C(C=CC2C)=CC(C)CC3OC(=O)C(CC)C))),404.53964,404.53964,M00966A,D019,LOVASTATIN,lovastatin,"antihyperlipidemic, HMGCoA reductase inhibitor, Aspergillus spp; mevinolin"
YU226478,1,Microsource,1500104,Pharmakon 1600,"60-31-1, 51-84-3 [acetylcholine]",[Cl-].O=C(OCC[N+](C)(C)C)C,181.66018,181.66018,M00966A,D020,ACETYLCHOLINE CHLORIDE,acetylcholine chloride,"cholinergic, antiarrhythmic, miotic, vasodilator (peripheral), synthetic"
YU226432,1,Microsource,1503692,Pharmakon 1600,"9041-93-4, 11056-06-7 [bleomycin]",S(=O)(=O)(O)O.S(=O)(=O)(O)O.S1(C(=NC(=C1)C(=O)NCCCCNC(=N)N)C=6(N=C(CCNC(=O)C(NC(=O)C(C(O)C(NC(=O)C(NC(=O)C2(=NC(=NC(=C2C)N)C(NCC(N)C(=O)N)CC(=O)N))C(OC3(OC(C(C)C(C3OC4(OC(C(O)C(C4O)OC(=O)N)CO))C)CC))C=5(N=CNC=5))C)C)C(O)C)SC=6)),1615.75016,1615.75016,M00966A,D021,BLEOMYCIN (bleomycin B2 shown),BLENOXANE,"antineoplastic, [Bleocin (TM) 3.5% Cu]; Streptomyces verticillis"
YU226479,1,Microsource,1500105,Pharmakon 1600,616-91-1,SCC(NC(=O)C)C(=O)O,163.1959,163.1959,M00966A,D022,ACETYLCYSTEINE,acetylcysteine,"mucolytic, synthetic"
YU033909,5,Microsource,1500412,Pharmakon 1600,"443-48-1, 69198-10-3 [metronidazole hydrochloride]",O=[N+]([O-])C=1(N(C(C)=NC=1)CCO),171.15408,171.15408,M00966A,E003,METRONIDAZOLE,metronidazole,"antiprotozoal, synthetic; Bay-5360, RP-8823"
YU226386,1,Microsource,1503874,Pharmakon 1600,3819-00-9,S2(C4(=C(N(CCCN1(CCC(CCO)CC1))C3(=C2C=CC=C3))C=C(C(=O)C)C=C4)),410.57328,410.57328,M00966A,E004,PIPERACETAZINE,piperacetazine,"antipsychotic, synthetic; PC-1421"
